"media-thumbnail-wrapper href","no-tracks src","media-thumbnail-wrapper","n","business-name href","business-name","categories 2","categories href 2","categories 3","categories href 3","rating href","count","track-visit-website","track-visit-website href","menu","menu href","amenities","amenities-icon href","amenities-icon href 2","amenities-icon href 3","amenities-info","amenities-info 2","amenities-icon href 7","amenities-info 3","amenities-icon href 8","amenities-icon href 9","phones","street-address","locality","price-range","open-status","open-status href","body","action","action href","action href 2","years-in-business src","count 2","label","media-thumbnail-wrapper src"
"https://www.yellowpages.com/san-jose-ca/mip/giorgios-italian-food-pizzeria-1470246?lid=1000439682703#gallery","https://i3.ypcdn.com/blob/66bdad3019a0d04f39dfe3f3e5d2165a4cc2824f_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Giorgio's Italian Food &amp; Pizzeria - Pizza"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/66bdad3019a0d04f39dfe3f3e5d2165a4cc2824f_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","1.","https://www.yellowpages.com/san-jose-ca/mip/giorgios-italian-food-pizzeria-1470246?lid=1000439682703","Giorgio's Italian Food & Pizzeria","Pizza","https://www.yellowpages.com/san-jose-ca/pizza","Mediterranean Restaurants","https://www.yellowpages.com/san-jose-ca/mediterranean-restaurants","https://www.yellowpages.com/san-jose-ca/mip/giorgios-italian-food-pizzeria-1470246?lid=1000439682703#yp-rating","(12)","Website","http://www.giorgiosandfjlitalian.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/giorgios-italian-food-pizzeria-1470246?lid=1000439682703#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Serves alcohol","[object Object]","[object Object]","(408) 264-5781","1445 Foxworthy Ave","San Jose, CA 95118","$$","OPEN NOW","[object Object]","Came in for dinner and changed into no longer disenchanted! Such friendly servers with a unique style! Would come returned anyway and wished they have been located in""","","","","","","",""
"https://www.yellowpages.com/san-jose-ca/mip/the-grill-on-the-alley-10030767?lid=10030767#gallery","https://i3.ypcdn.com/blob/e5d49c914b9e5987909b101efd76c1b625c4b243_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""The Grill on the Alley - American Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/e5d49c914b9e5987909b101efd76c1b625c4b243_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","2.","https://www.yellowpages.com/san-jose-ca/mip/the-grill-on-the-alley-10030767","The Grill on the Alley","American Restaurants","https://www.yellowpages.com/san-jose-ca/american-restaurants","Steak Houses","https://www.yellowpages.com/san-jose-ca/steak-houses","https://www.yellowpages.com/san-jose-ca/mip/the-grill-on-the-alley-10030767#yp-rating","(9)","Website","http://www.thegrill.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/the-grill-on-the-alley-10030767#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Good for groups","[object Object]","[object Object]","(408) 294-2244","172 S Market St","San Jose, CA 95113","$$$","OPEN NOW","[object Object]","Always a pleasure returning to TGOTA. This visit our company booked the wine room for lunch. The personalized service was excellent. From apps to lunch to dessert, the food was…","Order Online","http://redirect.singleapi.com/?trackingId=sp-l687404-t1-p17-rORUGKLLHOJUWY3BNN5XC25DIMUWWC3DMMV4S2NA=","[object Object]","","","",""
"https://www.yellowpages.com/san-jose-ca/mip/the-boiling-crab-460668054?lid=460668054#gallery","https://i3.ypcdn.com/blob/e15a25ea8119309bb07f65ff387c6e01e48ae230_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""The Boiling Crab - Seafood Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/e15a25ea8119309bb07f65ff387c6e01e48ae230_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","3.","https://www.yellowpages.com/san-jose-ca/mip/the-boiling-crab-460668054","The Boiling Crab","Seafood Restaurants","https://www.yellowpages.com/san-jose-ca/seafood-restaurants","","","https://www.yellowpages.com/san-jose-ca/mip/the-boiling-crab-460668054#yp-rating","(2)","Website","http://www.theboilingcrab.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/the-boiling-crab-460668054#open-menu","Amenities:","[object Object]","","","Serves alcohol","","[object Object]","","","","(408) 297-2322","71 Curtner Ave","San Jose, CA 95125","$$","OPEN NOW","[object Object]","So delicious. Perfect seasons and flavors.""","Order Online","http://redirect.singleapi.com/?trackingId=sp-l1070352-t1-p17-rORUGKLLCN5UWY2LOM4WWG4TBMIWTK===","[object Object]","","","",""
"https://www.yellowpages.com/san-jose-ca/mip/dry-creek-grill-462631648?lid=462631648#gallery","https://i3.ypcdn.com/blob/d1eda23c5a10ceedfb04b5a5ef1c52103c3a682c_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Dry Creek Grill - American Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/d1eda23c5a10ceedfb04b5a5ef1c52103c3a682c_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","4.","https://www.yellowpages.com/san-jose-ca/mip/dry-creek-grill-462631648","Dry Creek Grill","American Restaurants","https://www.yellowpages.com/san-jose-ca/american-restaurants","Take Out Restaurants","https://www.yellowpages.com/san-jose-ca/take-out-restaurants","","","Website","http://www.drycreekgrill.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/dry-creek-grill-462631648#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Wheelchair accessible","Good for groups","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 264-2011","1580 Hamilton Ave","San Jose, CA 95125","$$$","OPEN NOW","[object Object]","","Order Online","http://redirect.singleapi.com/?trackingId=sp-l1144924-t1-p17-rMRZHSLLDOJSWK2ZNM5ZGS3DM","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","12 Years","in Business",""
"https://www.yellowpages.com/san-jose-ca/mip/scotts-seafood-san-jose-2931538?lid=2931538#gallery","https://i3.ypcdn.com/blob/ff7176c392df6f43dbd9dfec49aa1604b94c7d64_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Scott's Seafood San Jose - Seafood Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/ff7176c392df6f43dbd9dfec49aa1604b94c7d64_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","5.","https://www.yellowpages.com/san-jose-ca/mip/scotts-seafood-san-jose-2931538","Scott's Seafood San Jose","Seafood Restaurants","https://www.yellowpages.com/san-jose-ca/seafood-restaurants","Breakfast, Brunch & Lunch Restaurants","https://www.yellowpages.com/san-jose-ca/breakfast-brunch-lunch-restaurants","https://www.yellowpages.com/san-jose-ca/mip/scotts-seafood-san-jose-2931538#yp-rating","(3)","Website","http://www.scottsseafoodsj.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/scotts-seafood-san-jose-2931538#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 971-1700","185 Park Ave","San Jose, CA 95113","$$$","CLOSED NOW","[object Object]","great place to bring somebody you want to impress. comfortable place with good food.""","Order Online","http://redirect.singleapi.com/?trackingId=sp-l308205-t1-p17-rONRW65DUOMWXGZLBMZXW6ZBNONQW4LLKN5ZWK===","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","25 Years","in Business",""
"https://www.yellowpages.com/san-jose-ca/mip/vin-santo-1704875?lid=1704875#gallery","https://i3.ypcdn.com/blob/df8c30cc05baeff5ab68b6c205ff2d3754dc00d4_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Vin Santo - Italian Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/df8c30cc05baeff5ab68b6c205ff2d3754dc00d4_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","6.","https://www.yellowpages.com/san-jose-ca/mip/vin-santo-1704875","Vin Santo","Italian Restaurants","https://www.yellowpages.com/san-jose-ca/italian-restaurants","Seafood Restaurants","https://www.yellowpages.com/san-jose-ca/seafood-restaurants","https://www.yellowpages.com/san-jose-ca/mip/vin-santo-1704875#yp-rating","(3)","Website","http://www.vin-santo.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/vin-santo-1704875#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 920-2508","1346 Lincoln Ave","San Jose, CA 95125","$$","CLOSED NOW","[object Object]","I love this restaurant. All the food and employees are amazing, and feel like family.""","Order Online","http://redirect.singleapi.com/?trackingId=sp-l415217-t1-p17-rOZUW4LLTMFXHI3ZNOJUXG5DPOJQW45DF","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","23 Years","in Business",""
"https://www.yellowpages.com/san-jose-ca/mip/zeytoun-restaurant-22065922","","","7.","https://www.yellowpages.com/san-jose-ca/mip/zeytoun-restaurant-22065922","Zeytoun Restaurant","Mediterranean Restaurants","https://www.yellowpages.com/san-jose-ca/mediterranean-restaurants","Family Style Restaurants","https://www.yellowpages.com/san-jose-ca/family-style-restaurants","","","Website","http://www.zeytoun.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/zeytoun-restaurant-22065922#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 392-9709","191 Metro Dr","San Jose, CA 95110","$$","CLOSED NOW","[object Object]","","Order Online","http://redirect.singleapi.com/?trackingId=sp-l217713-t1-p17-rPJSXS5DPOVXA====","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","29 Years","in Business","https://i1.ypcdn.com/ypu/images/default-thumbnails/thumbnail-2.svg?9cf0803"
"https://www.yellowpages.com/san-jose-ca/mip/yas-restaurant-8476590?lid=8476590#gallery","https://i3.ypcdn.com/blob/57cc486d601f224065bb93a604fd2bdfcc9865a6_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Yas Restaurant - Middle Eastern Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/57cc486d601f224065bb93a604fd2bdfcc9865a6_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","8.","https://www.yellowpages.com/san-jose-ca/mip/yas-restaurant-8476590","Yas Restaurant","Middle Eastern Restaurants","https://www.yellowpages.com/san-jose-ca/middle-eastern-restaurants","Family Style Restaurants","https://www.yellowpages.com/san-jose-ca/family-style-restaurants","https://www.yellowpages.com/san-jose-ca/mip/yas-restaurant-8476590#yp-rating","(1)","Website","http://www.yasrestaurant.net/menu","View Menu","https://www.yellowpages.com/san-jose-ca/mip/yas-restaurant-8476590#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Wheelchair accessible","Good for groups","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 241-5115","1138 Saratoga Ave","San Jose, CA 95129","$$","OPEN NOW","[object Object]","I went here with my family on a Friday night to check it out and was appalled by the exceptional service! The staff was extremely and even accommodated my children with toys…","Order Online","http://redirect.singleapi.com/?trackingId=sp-l200319-t1-p17-rPFQXGLLSMVZXIYLVOJQW45A=","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","28 Years","in Business",""
"https://www.yellowpages.com/san-jose-ca/mip/isabellas-restaurant-4272661?lid=4272661#gallery","https://i3.ypcdn.com/blob/3d678521663aabde358bcfab5e07790ad959aee7_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Isabella's Restaurant - Peruvian Restaurants"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/3d678521663aabde358bcfab5e07790ad959aee7_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","9.","https://www.yellowpages.com/san-jose-ca/mip/isabellas-restaurant-4272661","Isabella's Restaurant","Peruvian Restaurants","https://www.yellowpages.com/san-jose-ca/peruvian-restaurants","Latin American Restaurants","https://www.yellowpages.com/san-jose-ca/latin-american-restaurants","https://www.yellowpages.com/san-jose-ca/mip/isabellas-restaurant-4272661#yp-rating","(1)","","","View Menu","https://www.yellowpages.com/san-jose-ca/mip/isabellas-restaurant-4272661#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Offers outdoor seating","Wheelchair accessible","[object Object]","Good for groups","[object Object]","[object Object]","(408) 248-7378","700 S Winchester Blvd","San Jose, CA 95128","$$","CLOSED NOW","[object Object]","Isabella's has great Peruvian food....very nice atmosphere, and friendly staff.They are open late on Friday and Saturday nights....the Arroz con Mariscos (Seafood and Rice) is…","Order Online","http://redirect.singleapi.com/?trackingId=sp-l623043-t1-p17-rNFZWCYTFNRWGC4ZNOJSXG5DBOVZGC3TU","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","17 Years","in Business",""
"https://www.yellowpages.com/san-jose-ca/mip/black-angus-steakhouse-474268836?lid=474268836#gallery","https://i3.ypcdn.com/blob/b5396877b468c3ccf0efb8dfb79fd54e073546ed_130x130_crop.jpg?9cf0803","<img class=""csrp"" alt=""Black Angus Steakhouse - Steak Houses"" asset_type=""blob_api"" src=""https://i3.ypcdn.com/blob/b5396877b468c3ccf0efb8dfb79fd54e073546ed_130x130_crop.jpg?9cf0803
"" width=""130"" height=""130"">","10.","https://www.yellowpages.com/san-jose-ca/mip/black-angus-steakhouse-474268836","Black Angus Steakhouse","Steak Houses","https://www.yellowpages.com/san-jose-ca/steak-houses","American Restaurants","https://www.yellowpages.com/san-jose-ca/american-restaurants","https://www.yellowpages.com/san-jose-ca/mip/black-angus-steakhouse-474268836#yp-rating","(1)","Website","http://www.blackangus.com/","View Menu","https://www.yellowpages.com/san-jose-ca/mip/black-angus-steakhouse-474268836#open-menu","Amenities:","[object Object]","[object Object]","[object Object]","Wheelchair accessible","Good for groups","[object Object]","Has Wifi","[object Object]","[object Object]","(408) 266-6602","1011 Blossom Hill Rd","San Jose, CA 95123","$$","CLOSED NOW","[object Object]","We ate at Black Angus for my birthday a couple of days ago. The food is well seasoned, flavorful and hearty portions. Also, when you join their birthday club you get a free…","Order Online","http://redirect.singleapi.com/?trackingId=sp-l486688-t1-p17-rMJWGCY3LFVQW4Z3VOMWXG5DFMFVWQ33VONSS2MY=","[object Object]","https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9cf0803","60 Years","in Business",""
